sid,週期溢價,未平倉市值_百萬,買方OI張,賣方OI張,有資料天數,名稱,溢價排名,倉位排名,打擊名單,高溢價無倉,ADV20張,空方cover,多方cover,空方名單,多方名單
2360,0.006237367919682499,1439,76.1,602.7,3,致茂,15.0,45.0,False,True,2253.5834,0.2674,0.0338,False,False
2337,0.006191308228161967,1319,4994.0,10950.0,3,旺宏,16.0,47.0,False,True,32769.786850000004,0.3341,0.1524,False,False
8932,0.006141398932864701,169,120.0,1740.0,3,智通*,17.0,98.0,False,True,3381.73215,0.5145,0.0355,False,False
1608,0.0061301522622605,3,8.0,90.0,1,華榮,18.0,189.5,False,True,2922.3186,0.0308,0.0027,False,False
6213,0.006066727843770266,2149,1256.0,3908.0,3,聯茂,19.0,37.0,False,True,18778.6779,0.2081,0.0669,False,False
5009,0.0059962811916956,64,50.0,1976.0,3,榮剛,20.0,121.0,False,True,1440.71325,1.3715,0.0347,True,False
1314,0.005984324697528034,56,356.0,5976.0,3,中石化,21.0,126.0,False,True,34198.985700000005,0.1747,0.0104,False,False
1565,0.0058987610137072,0,0.1,0.3,2,精華,22.0,199.0,False,True,139.178,0.0022,0.0007,False,False
6770,0.005858960613496,1956,8866.0,26618.0,3,力積電,23.0,41.0,False,True,134048.17715,0.1986,0.0661,False,False
2605,0.0057726319778336,84,448.0,2236.0,3,新興,24.0,115.0,False,True,13745.3882,0.1627,0.0326,False,False
1477,0.00574245683216763,30,15.5,156.2,3,聚陽,25.0,150.5,False,True,1293.03515,0.1208,0.012,False,False
5534,0.005659179792861633,20,18.0,262.0,3,長虹,26.0,161.0,False,True,851.3528,0.3077,0.0211,False,False
3661,0.005625288894651044,3110,277.4,846.9,3,世芯-KY,27.0,28.0,True,False,2490.22635,0.3401,0.1114,False,False
2368,0.005569867499644509,2908,138.1,2742.1,3,金像電,28.0,29.0,True,False,8322.65525,0.3295,0.0166,False,False
1907,0.005532998554681597,3,30.0,92.0,3,永豐餘,29.0,189.5,False,True,875.78125,0.105,0.0343,False,False
5880,0.005531917995612833,11,400.0,414.0,3,合庫金,30.0,172.5,False,True,20558.612149999997,0.0201,0.0195,False,False
8069,0.005449532330779667,401,972.0,2754.0,3,元太,31.0,70.0,False,False,5775.4073,0.4768,0.1683,False,False
8163,0.0053530243585975515,1,4.0,26.0,2,達方,32.0,196.0,False,False,560.93175,0.0464,0.0071,False,False
3231,0.0053326266723930675,2638,3428.0,14032.0,3,緯創,33.0,31.0,False,False,53005.277299999994,0.2647,0.0647,False,False
3017,0.005324923298277272,6277,1009.4,1814.2,3,奇鋐,34.0,14.0,False,False,3418.34895,0.5307,0.2953,False,False
5347,0.005302995379009967,1246,2614.0,7182.0,3,世界,35.0,49.0,False,False,13922.34415,0.5159,0.1878,False,False
2520,0.0053011467933399,16,22.0,424.0,3,冠德,36.0,164.5,False,False,1634.7636499999999,0.2594,0.0135,False,False
2392,0.005268816293171066,29,86.0,642.0,3,正崴,37.0,153.0,False,False,4191.7895,0.1532,0.0205,False,False
2323,0.0051411774982292,2,98.0,184.0,3,中環,38.0,192.5,False,False,4214.21455,0.0437,0.0233,False,False
3324,0.005087923741414382,4590,242.5,2982.0,3,雙鴻,39.0,18.0,False,False,4533.40385,0.6578,0.0535,False,False
2609,0.005032091394598233,661,1698.0,10742.0,3,陽明,40.0,60.0,False,False,61712.602399999996,0.1741,0.0275,False,False
9904,0.005022406066105633,46,0.0,1844.0,3,寶成,41.0,134.5,False,False,11448.412900000001,0.1611,0.0,False,False
5388,0.004990123018732967,60,0.0,820.0,3,中磊,42.0,124.0,False,False,2384.10375,0.3439,0.0,False,False
2303,0.004923374203439366,24687,5072.0,155756.0,3,聯電,43.0,3.0,False,False,190305.0256,0.8185,0.0267,False,False
